time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010449700000	17.134	18.915	4.60773	2.44926	0.520795	lidar	0.192552	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9672	19.085	4.62936	2.46033	0.493721	radar	2.9751	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.7438	19.2071	4.67085	2.5025	0.51443	lidar	2.8244	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.5485	19.3643	4.72584	2.52909	0.525947	radar	3.28073	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.3033	19.5429	4.90595	2.55417	0.522979	lidar	0.763616	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.0825	19.6222	4.85602	2.6118	0.582945	radar	10.1363	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.8725	19.7683	4.89716	2.63221	0.572261	lidar	0.703929	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.691	19.8898	4.78926	2.6293	0.488488	radar	3.26063	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4453	20.0553	4.94482	2.64374	0.474536	lidar	1.04597	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.2197	20.2073	5.01213	2.65275	0.44889	radar	5.37689	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.0481	20.3277	4.90931	2.66434	0.437605	lidar	1.96462	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.8155	20.4095	4.91164	2.70728	0.480792	radar	2.29196	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6044	20.5257	4.90501	2.72388	0.472218	lidar	0.570289	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.3589	20.6175	4.97113	2.7642	0.516374	radar	1.21793	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.1154	20.6875	4.97304	2.79838	0.526143	lidar	0.691796	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.8727	20.7624	5.00604	2.83544	0.555077	radar	0.246222	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.5912	20.8273	5.09535	2.87086	0.562508	lidar	1.39268	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.3382	20.8609	5.1324	2.92813	0.633367	radar	1.89199	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.1026	20.8905	5.07297	2.96647	0.642643	lidar	0.227144	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.8726	20.9506	5.01615	2.98348	0.612013	radar	1.99462	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.7002	20.9766	4.82676	3.01455	0.618453	lidar	2.17278	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.4425	21.0212	4.88423	3.03853	0.607313	radar	2.55449	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.1948	21.0573	4.90698	3.06312	0.599518	lidar	0.160194	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.9604	21.0759	4.89528	3.09407	0.605951	radar	0.911554	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.7268	21.0397	4.83939	3.14319	0.630867	lidar	1.7702	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.485	21.0245	4.82171	3.17787	0.6313	radar	1.0416	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.2797	21.0127	4.73661	3.21109	0.636387	lidar	0.579298	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	11.0283	20.973	4.75931	3.24961	0.641704	radar	4.10351	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.8281	20.9308	4.66848	3.29058	0.656264	lidar	0.273355	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.5868	20.9278	4.56515	3.2898	0.577299	radar	5.65469	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.2709	20.9747	4.79923	3.27034	0.506766	lidar	3.93536	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.0344	20.9544	4.80324	3.29034	0.500919	radar	1.0026	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.86186	20.9107	4.64795	3.32671	0.520433	lidar	1.38103	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.63907	20.8971	4.52592	3.32461	0.456359	radar	1.51524	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.45873	20.8473	4.42627	3.35696	0.47162	lidar	0.464521	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.25072	20.7985	4.45697	3.38735	0.492232	radar	1.49128	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.90894	20.788	4.75625	3.36877	0.427992	lidar	3.15669	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.70582	20.7027	4.72677	3.41395	0.469898	radar	4.44134	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.39884	20.6292	4.92006	3.42558	0.448952	lidar	2.99648	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.16587	20.5498	4.94512	3.45593	0.466317	radar	0.119818	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.91665	20.471	4.98134	3.47621	0.461361	lidar	0.0824392	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.69739	20.3855	5.02312	3.51226	0.496963	radar	3.41285	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.34956	20.3351	5.28226	3.49336	0.433787	lidar	2.39117	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
